Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
2003 Akkas Gata 11                    2003 Vändplats                                                       320607,00   6405209,00      57,7530396785      11,9851834929
2020 Heidenstams Gata 2               2020 Taxi A                                                          320259,00   6405142,00      57,7523000000      11,9794000000
2005 Gösta Berlings.G.22              2005                                                                 320395,00   6405458,00      57,7552000000      11,9814000000
2006 Körkarlens Gata 18               2006                                                                 320614,00   6405548,00      57,7561000000      11,9851000000
2007 Fridhems Kyrk.Hpl                2007 Läge B                                                          320195,00   6406372,00      57,7633000000      11,9774000000
2001 Nils Holgerssons Gata 25         2001 Borttagen 190225                                                320507,00   6404960,00      57,7507661999      11,9836918260
2011 Ekebygatan 14                    2011                                                                 320818,00   6405535,00      57,7560000000      11,9885000000
2012 Friedländers G.16                2012 Taxi C                                                          320775,00   6405403,00      57,7548000000      11,9879000000
2013 Cederflychts G.9                 2013                                                                 320797,00   6405144,00      57,7525000000      11,9884000000
2014 Lisa Sass Gata 7                 2014 flexlinjen stanna på nr 14. Avstängs pga ombyggnad tv.          320712,00   6404956,00      57,7508122277      11,9871343051
2021 Övralidsgatan 3                  2021                                                                 320055,00   6405440,00      57,7549000000      11,9758000000
2022 Olshammarsgatan 4                2022                                                                 319828,00   6405381,00      57,7543000000      11,9720000000
2023 Olshammarsgatan 16               2023                                                                 319778,00   6405327,00      57,7537661828      11,9711852772
2024 Skogsängsvägen 14                2024                                                                 319683,00   6405286,00      57,7534000000      11,9696000000
2025 Gläntevägen 15                   2025                                                                 319435,00   6405311,00      57,7535000000      11,9654000000
2026 Gläntevägen 29                   2026                                                                 319295,00   6405338,00      57,7537000000      11,9631000000
2027 Långhagsgatan 13                 2027                                                                 319384,00   6405202,00      57,7525000000      11,9647000000
2030 Åketorpsgatan hållplats          2030 Läge C                                                          319215,00   6405511,00      57,7551902070      11,9616000569
2028 Skogsängsvägen 2                 2028                                                                 319546,00   6405105,00      57,7517000000      11,9675000000
2029 Nyhemsgatan 15                   2029                                                                 319672,00   6405036,00      57,7511000000      11,9696000000
2031 Backadalsgatan 54                2031                                                                 319793,00   6405113,00      57,7519000000      11,9716000000
2032 Backadalsgatan 42                2032                                                                 319907,00   6404969,00      57,7506000000      11,9736000000
2033 Backadalsgatan 28                2033                                                                 320030,00   6404821,00      57,7493000000      11,9758000000
2035 Markurellgatan 17                2035                                                                 320123,00   6404563,00      57,7471000000      11,9776000000
2036 Sägengatan 55.A                  2036                                                                 320272,00   6404617,00      57,7476000000      11,9800000000
2037 Sägengatan 23                    2037                                                                 320174,00   6404346,00      57,7451254771      11,9785646324
2034 Parkuddsgatan 5                  2034                                                                 320154,00   6404793,00      57,7491000000      11,9779000000
2040 Baron Rogers G.33                2040                                                                 320005,00   6404381,00      57,7453716616      11,9757034126
2041 Baron Rogers G.5                 2041 Taxi A, Inf.Krumeluren                                          319870,00   6404265,00      57,7443000000      11,9735000000
2042 Hj.Bergmans G.28                 2042 Vändplats                                                       319769,00   6403971,00      57,7416000000      11,9721000000
2043 Blendas Gata 57                  2043 Vändplats                                                       319659,00   6404160,00      57,7433000000      11,9701000000
2052 Oxögedal 42                      2052                                                                 319413,00   6403920,00      57,7410000000      11,9661000000
2053 Björkrisvägen 36                 2053                                                                 319413,00   6403761,00      57,7396000000      11,9662000000
2051 Hj.Bergmans G.8                  2051 Vändplats                                                       319727,00   6403890,00      57,7409000000      11,9714000000
2060 Backa Kyrkogata 6                2060 Backa Församligshem                                             320195,00   6404167,00      57,7435282365      11,9790509665
2061 Sagogången 48                    2061 Taxi G, inf.Backa Kyrkogata                                     320109,00   6404042,00      57,7423725178      11,9777019121
Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
------------------------------ ----------- ------------------------------------------------------------ ------------ ------------ ------------------ ------------------
